OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E00088617,UN1,Urban: Nearer to a major town or city,Urban,83621
E00088618,UN1,Urban: Nearer to a major town or city,Urban,83622
E00088619,UN1,Urban: Nearer to a major town or city,Urban,83623
E00088620,UN1,Urban: Nearer to a major town or city,Urban,83624
E00088621,UN1,Urban: Nearer to a major town or city,Urban,83625
E00088622,UN1,Urban: Nearer to a major town or city,Urban,83626
E00088623,UN1,Urban: Nearer to a major town or city,Urban,83627
E00088624,UN1,Urban: Nearer to a major town or city,Urban,83628
E00088625,UN1,Urban: Nearer to a major town or city,Urban,83629
E00088626,UN1,Urban: Nearer to a major town or city,Urban,83630
E00088627,UN1,Urban: Nearer to a major town or city,Urban,83631
E00088628,RLN1,Larger rural: Nearer to a major town or city,Rural,83632
E00088629,RLN1,Larger rural: Nearer to a major town or city,Rural,83633
E00088630,RSN1,Smaller rural: Nearer to a major town or city,Rural,83634
E00088631,RLN1,Larger rural: Nearer to a major town or city,Rural,83635
E00088632,RLN1,Larger rural: Nearer to a major town or city,Rural,83636
E00088633,RLN1,Larger rural: Nearer to a major town or city,Rural,83637
E00088634,RLN1,Larger rural: Nearer to a major town or city,Rural,83638
E00088635,RLN1,Larger rural: Nearer to a major town or city,Rural,83639
E00088636,RLN1,Larger rural: Nearer to a major town or city,Rural,83640
E00088637,RLN1,Larger rural: Nearer to a major town or city,Rural,83641
E00088638,RLN1,Larger rural: Nearer to a major town or city,Rural,83642
E00088639,RLN1,Larger rural: Nearer to a major town or city,Rural,83643
E00088640,RLN1,Larger rural: Nearer to a major town or city,Rural,83644
E00088641,RLN1,Larger rural: Nearer to a major town or city,Rural,83645
E00088642,RLN1,Larger rural: Nearer to a major town or city,Rural,83646
E00088643,RLN1,Larger rural: Nearer to a major town or city,Rural,83647
E00088644,RLN1,Larger rural: Nearer to a major town or city,Rural,83648
E00088645,RLN1,Larger rural: Nearer to a major town or city,Rural,83649
E00088808,UN1,Urban: Nearer to a major town or city,Urban,83650
E00088536,UN1,Urban: Nearer to a major town or city,Urban,83651
E00088646,RLN1,Larger rural: Nearer to a major town or city,Rural,83652
E00088860,UN1,Urban: Nearer to a major town or city,Urban,83653
